movie_title,bag_of_words
The Secret Life of Walter Mitty ,adventure comedy drama fantasy romance daydream life magazine magazine photographer snow leopard  
Charlie's Angels ,action adventure comedy crime thriller booty shake box office hit duct tape over mouth first part martial arts  
The Departed ,crime drama thriller boston mole police undercover undercover cop  
Mulan ,adventure animation family fantasy musical war based on poem based on true story china one word title the huns  
Tropic Thunder ,action comedy film director parody spoof vietnam written and directed by cast member  
The Girl with the Dragon Tattoo ,crime drama mystery thriller computer hacker hacker investigation journalist punk  
Die Hard with a Vengeance ,action adventure thriller bomb detective new york city police terrorist  
Sherlock Holmes ,action adventure crime mystery thriller black magic bridge construction professor moriarty scotland yard inspector sherlock holmes  
Ben-Hur ,adventure drama history nan  
Atlantis: The Lost Empire ,action adventure animation family fantasy sci-fi atlantis crew expedition journal museum  
Alvin and the Chipmunks: The Road Chip ,adventure animation comedy family fantasy music chipmunk highway travel on the road plane road movie  
Valkyrie ,drama history thriller war american actor playing foreigner assassination conspiracy military nazis  
You Don't Mess with the Zohan ,action comedy hair stylist jew landlord muslim palestinian  
Pixels ,action animation comedy sci-fi alien arcade game chase driving in reverse video gamer  
A.I. Artificial Intelligence ,adventure drama sci-fi affection boy fairy future robot  
The Haunted Mansion ,comedy family fantasy horror mystery arachnophobia crystal ball ghost haunted house thunderstorm  
Contact ,drama mystery sci-fi thriller message from outer space religion religion versus science scientist universe  
Hollow Man ,action horror sci-fi thriller experiment research scientist suburb surrealism  
The Interpreter ,crime mystery thriller african assassination dialect interpreter threat  
Percy Jackson: Sea of Monsters ,adventure family fantasy golden fleece half brother magical tree sea tree  
Lara Croft Tomb Raider: The Cradle of Life ,action adventure fantasy duology female hero female lead orb pandora's box  
Now You See Me 2 ,action adventure comedy crime mystery thriller card trick london england magician rain machine rooftop  
The Saint ,action adventure romance sci-fi thriller cold fusion disguise energy fusion the saint  
Spy Game ,action crime thriller china cia cold war friendship retirement  
Mission to Mars ,adventure sci-fi thriller astronaut mars mars the planet outer space zero gravity  
Rio ,adventure animation comedy family musical bird brazilian cockatoo macaw minnesota  
Bicentennial Man ,comedy drama sci-fi 23rd century android artificial intelligence dual role robot  
Volcano ,action drama sci-fi thriller earthquake fire lava rescue volcano  
The Devil's Own ,action crime drama thriller friendship murder northern ireland police officer terrorist  
K-19: The Widowmaker ,drama history thriller war courage radiation sickness radioactive contamination sea test launch  
Conan the Barbarian ,adventure fantasy actual animal killed cult evil sorcerer gladiator warlord  
Cinderella Man ,biography drama sport boxer boxing dream great depression love  
The Nutcracker in 3D ,action family fantasy musical box office flop christmas christmas eve critically bashed toy comes to life  
Seabiscuit ,drama history sport horse horse racing jockey limp seabiscuit  
Twister ,action adventure drama thriller device disaster divorce storm tornado  
Cast Away ,adventure drama romance christmas island love survival talking to inanimate object  
Happy Feet ,animation comedy family music romance dance emperor penguin friend penguin song  
The Bourne Supremacy ,action mystery thriller assassin car chase cia hidden truth one against many  
Air Force One ,action adventure drama thriller ex soldier hijacker hostage president terrorist  
Ocean's Eleven ,crime thriller card dealer casino criminal mastermind recruiting ulcer  
The Three Musketeers ,action adventure romance box office flop cardinal richelieu critically bashed duel musketeer  
Hotel Transylvania ,animation comedy family fantasy dracula hotel invisible man monster transylvania  
Enchanted ,animation comedy family fantasy musical romance fairy tale lawyer love new york prince  
Hannibal ,crime drama horror mystery thriller blood cannibalism fbi manipulation psychiatrist  
Safe House ,action crime mystery thriller cia cia agent consulate on the run safe house  
102 Dalmatians ,adventure comedy family dog parole parole officer prison puppy  
Tower Heist ,action comedy crime apartment fbi fraud heist manager  
The Holiday ,comedy romance book composer house love self esteem  
Enemy of the State ,action crime drama mystery thriller congressman lawyer nsa on the run surveillance  
It's Complicated ,comedy drama romance affair divorce graduation vomiting watching television  
Ocean's Thirteen ,crime thriller casino heist manmade earthquake revenge tunnel boring machine  
Open Season ,adventure animation comedy family bear deer forest grizzly bear hunter  
Divergent ,adventure mystery sci-fi army brother sister relationship dystopia father son relationship narrated by character  
Enemy at the Gates ,drama history war battle german russian sniper stalingrad  
The Rundown ,action adventure comedy thriller amazon bounty hunter fight hunter jungle  
Last Action Hero ,action adventure comedy fantasy action hero hero magic ticket video store  
Memoirs of a Geisha ,drama romance coming of age geisha japan jealousy love  
The Fast and the Furious: Tokyo Drift ,action crime thriller car challenge drift racing drifting tokyo japan  
Arthur Christmas ,adventure animation comedy family fantasy christmas christmas eve elf high tech resentment  
Meet Joe Black ,drama fantasy romance birthday death death personified fear of death wealth  
Collateral Damage ,action drama thriller bare chested boy car explosion colombia explosion terrorism  
All That Jazz ,comedy drama music musical dancer editing stand up comedian surgery vomiting  
Mirror Mirror ,adventure comedy drama family fantasy kingdom prince princess queen snow  
Scott Pilgrim vs. the World ,action comedy fantasy romance band dating high school hipster rock band  
The Core ,action adventure sci-fi thriller core earth natural disaster pacemaker scientist  
Nutty Professor II: The Klumps ,comedy romance sci-fi alter ego marriage professor scientist serum  
Scooby-Doo ,adventure comedy mystery amusement park island motorcycle scooby doo tough girl  
Dredd ,action sci-fi brutality dark humor female antagonist female warrior post apocalypse  
Click ,comedy drama fantasy romance architect frozen time obese man remote control stopped time  
Creepshow ,comedy fantasy horror anthology child abuse critically acclaimed death grindhouse  
Cats & Dogs: The Revenge of Kitty Galore ,action comedy family fantasy cartoon on tv cat dog kitty special agent  
Jumper ,action adventure sci-fi thriller bank based on novel ice teleportation vault  
Hellboy II: The Golden Army ,action adventure fantasy horror sci-fi creature elf prince rebellion superhero  
Zodiac ,crime drama history mystery thriller cartoonist reporter serial killer zodiac zodiac killer  
The 6th Day ,action mystery sci-fi thriller clone cloning future laser gun murder  
Bruce Almighty ,comedy drama answer to prayer breast expansion pleading with god supernatural power walking on water  
The Expendables ,action adventure thriller action hero assassination attempt explosion machine gun rescue mission  
